,tradingsymbol,instrument_token,mis_multiplier
190,RAMCOCEM,523009,12.5
191,RALLIS,720897,3.0
192,MAGMA,2919169,3.0
193,M50,4937985,3.0
194,M&MFIN,3400961,12.5
195,M&M,519937,12.5
196,LT,2939649,12.5
197,LOVABLE,5738241,3.0
198,LIQUIDBEES,2817537,10.0
199,LINCOLN,2968577,3.0
200,LICHSGFIN,511233,12.5
201,LIBERTSHOE,510465,3.0
202,LGBBROSLTD,4690177,3.0
203,LALPATHLAB,2983425,3.0
204,L&TFH,6386689,11.0
205,KTKBANK,2061825,12.5
206,KHADIM,108801,3.0
207,KEI,3407361,3.0
208,KEC,3394561,3.0
209,KARURVYSYA,470529,3.0
210,KANSAINER,306177,3.0
211,KALPATPOWR,464385,3.0
212,KAJARIACER,462849,12.5
213,JYOTHYLAB,3877377,3.0
214,JUSTDIAL,7670273,10.0
215,JUBLFOOD,4632577,5.0
216,JUBILANT,931073,3.0
217,JSWSTEEL,3001089,12.5
218,JSWENERGY,4574465,3.0
219,JSLHISAR,3149825,3.0
220,JSL,2876417,3.0
221,JPASSOCIAT,2933761,5.0
222,JMFINANCIL,3491073,3.0
223,JKTYRE,3695361,3.0
224,JKPAPER,3036161,3.0
225,JKIL,3908097,3.0
226,JKCEMENT,3397121,3.0
227,JISLJALEQS,2661633,11.0
228,JINDWORLD,5284353,3.0
229,JINDALSTEL,1723649,11.0
230,JETAIRWAYS,2997505,5.9
231,JAMNAAUTO,5319169,3.0
232,JAICORPLTD,1316609,3.0
233,JAGRAN,3382017,3.0
234,NETWORK18,3612417,3.0
235,NESTLEIND,4598529,12.5
236,NCC,593665,12.5
237,NBCC,8042241,12.5
238,NAVNETEDUL,610561,3.0
239,NAUKRI,3520257,3.0
240,NATIONALUM,1629185,12.5
241,NATCOPHARM,1003009,3.0
242,IRB,3920129,11.0
243,IPCALAB,418049,3.0
244,IOC,415745,8.3
245,IOB,2393089,3.0
246,INTELLECT,1517057,3.0
247,INOXWIND,2010113,3.0
248,INOXLEISUR,3384577,3.0
249,INFY,408065,12.5
250,INFRATEL,7458561,12.5
251,INFIBEAM,4159745,2.6
252,IIFL,3023105,3.0
253,IGPL,3606017,3.0
254,HINDPETRO,359937,9.0
255,HEIDELBERG,592897,3.0
256,HDFCLIFE,119553,3.0
257,HDFCBANK,341249,12.5
258,HBLPOWER,3575297,3.0
259,HAVELLS,2513665,12.5
260,HATHWAY,4647425,3.0
261,GUJGASLTD,2713345,3.0
262,GUJFLUORO,329985,3.0
263,GUJALKALI,324353,3.0
264,GSS,3928833,3.0
265,GSPL,3378433,3.0
